sku,type,category_L1,category_L2,vendor,rank
BMFMAY6902395774280,Maybelline New York,Beauty,Makeup,L'Oreal CPD,113
BMLNYX800897142902,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,114
5.06E+12,ST London,Beauty,Makeup,ST London,115
swset18210426045,Shein Jewellery,Shein,Accessories,Bagallery,116
3.60E+12,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,117
8.96E+12,Dettol,Beauty,Health & Personal Care,Reckitt,118
6.29E+12,Huda Beauty,Beauty,Makeup,Elixir Marketing,119
8.96E+12,Saeed Ghani Skin Care,Beauty,Skincare,SG 1888 (PRIVATE) LIMITED,120
8.96E+12,Garnier Men,Beauty,Skincare,L'Oreal CPD,121
8.96E+12,Hemani Herbals Haircare,Beauty,Haircare,Hemani Herbals,122
5.06E+12,Freedom Makeup,Beauty,Makeup,Cosmeco,123
5.06E+12,,Beauty,Skincare,Bagallery,124
8.96E+12,Lifebuoy,Beauty,Haircare,Bagallery,125
3.34E+12,CeraVe,Beauty,Skincare,CeraVe,126
3.62E+12,Rimmel,Beauty,Makeup,Brands Unlimited - CD,127
8.99E+12,L'Oreal Paris Makeup,Beauty,Makeup,L'Oreal CPD,128
5.03E+12,Makeup Revolution,Beauty,Makeup,Cosmeco,129
3.61E+12,Kiehl's,Beauty,Skincare,Bagallery,130
8.96E+12,Ooh Lala,Beauty,Skincare,Ooh Lala,131
3.57E+12,Aveeno,Beauty,Skincare,UDL,132
4.25E+12,Catrice,Beauty,Makeup,Majid Meer,133
5.06E+12,MUA,Beauty,Makeup,Innovarge,134
4.25E+12,Essence,Beauty,Makeup,Brands Unlimited PVT,135
8.41E+12,Nike,Beauty,Fragrances,Bin Bakar,136
MZ296,The Ordinary,Beauty,Skincare,Bagallery,137
BG2200,The Ordinary,Beauty,Skincare,Bagallery,138
8.96E+12,Hemani Herbals Skin Care,Beauty,Skincare,Hemani Herbals,139
3.57E+12,Listerine,Beauty,Health & Personal Care,UDL,140
3.61E+12,Adidas Perfumes,Beauty,Fragrances,Bin Bakar,141
FT-274-HTS,Home.Co Beauty tools,Fashion,Home.Co,Karam Traders,142
FT-421-HAB,Home.Co Beauty tools,Fashion,Home.Co,Faiz Traders,143
8.41E+12,Johnson's,Beauty,Baby Care,UDL,144
6.00E+12,Johnson's,Beauty,Baby Care,UDL,145
6.93E+12,Disaar,Beauty,Skincare,Abdullah Hair Care,146
5.06E+12,The Inkey List,Beauty,Skincare,Bagallery,147
3.61E+12,,Beauty,Skincare,Bagallery,148
3.05E+12,Bourjois,Beauty,Makeup,Bourjois,149
8.68E+12,J. Cosmetics,Beauty,Fragrances,J. Cosmetics,150
5.01E+12,Rimmel,Beauty,Makeup,Brands Unlimited - CD,151
8.96E+12,WB by HEMANI,Beauty,Skincare,Hemani Herbals,152
braceletbr180601801,Shein Jewellery,Shein,Accessories,Bagallery,153
6.90E+12,L'Oreal Paris Makeup,Beauty,Makeup,L'Oreal CPD,154
5.06E+12,I Heart Revolution,Beauty,Makeup,Cosmeco,155
5.06E+12,I Heart Makeup,Beauty,Makeup,Cosmeco,156
6.93E+12,O.TWO.O,Beauty,Makeup,PL Beauty Vendor,157
8.96E+12,True Cosmetics,Beauty,Skincare,True Skin,158
3.61E+12,Lancome,Beauty,Makeup,Bin Bakar,159
5.03E+12,I Love Makeup,Beauty,Makeup,Hasan Cash Vendor,160
3.61E+12,L'Oreal Paris Makeup,Beauty,Makeup,L'Oreal CPD,161
4.01E+12,Remington,Beauty,Beauty Tools,Bin Bakar Remington,162
8.68E+12,WB by HEMANI,Beauty,Skincare,Hemani Herbals,163
6.29E+12,4ME,Beauty,Fragrances,Abdullah Hair Care,164
8.85E+11,Pixi,Beauty,Makeup,Brands Unlimited - CD,165
5.91E+12,WB by HEMANI,Beauty,Skincare,Hemani Herbals,166
5.06E+12,Makeup Obsession,Beauty,Makeup,Cosmeco,167
8.96E+12,Saeed Ghani Hair Care,Beauty,Haircare,SG 1888 (PRIVATE) LIMITED,168
633512200,Remington,Beauty,Beauty Tools,Bin Bakar Remington,169
